<name3> = <val6>	<name3> に <val6> を入れる
<name1> = float ( <name2> )	<name2> を浮動小数点数として得た結果を <name1> にする
<name1> = float ( <name3> )	浮動小数点数として <name3> を得、 <name1> にする
<name1> = float ( <name2> )	浮動小数点数として <name2> を得、 <name1> にする
<name1> = float ( <name6> )	浮動小数点数として <name6> を得られた結果を <name1> とする
<name1> = float ( <name2> )	浮動小数点数として <name2> を得られた結果を <name1> とする
<name6> = float ( <name3> )	<name3> を浮動小数点数型として取得して、 <name6> とする
<name1> = float ( <name2> )	<name2> を浮動小数点数型として取得して、 <name1> とする
<name1> = float ( <name3> )	<name3> を浮動小数点数型として取得した結果を <name1> とする
<name1> = float ( <name2> )	<name2> を浮動小数点数型として取得した結果を <name1> とする
<name5> = float ( <name1> )	浮動小数点数型として <name1> を取得し、 <name5> に代入する
<name1> = float ( <name2> )	浮動小数点数型として <name2> を取得し、 <name1> に代入する
<name6> = float ( <name4> )	浮動小数点数型として <name4> を取得した結果を <name6> とする
<name1> = float ( <name2> )	浮動小数点数型として <name2> を取得した結果を <name1> とする
<name1> = float ( <name3> )	浮動小数点数型として <name3> を得て、 <name1> とする
<name1> = float ( <name2> )	浮動小数点数型として <name2> を得て、 <name1> とする
<name6> = float ( <name4> )	浮動小数点数型として <name4> を得られた結果を <name6> にする
<name1> = float ( <name2> )	浮動小数点数型として <name2> を得られた結果を <name1> にする
<name3> = float ( <name6> )	浮動小数点数として <name6> を取得して、 <name3> とする
<name1> = float ( <name2> )	浮動小数点数として <name2> を取得して、 <name1> とする
<name3> = float ( <name6> )	浮動小数点数として <name6> を取得した結果を <name3> にする
<name1> = float ( <name2> )	浮動小数点数として <name2> を取得した結果を <name1> にする
int ( <name2> )	<name2> を整数に変換する
int ( <name1> )	<name1> を整数に変換する
int ( <name4> )	<name4> を整数に置き換える
int ( <name1> )	<name1> を整数に置き換える
int ( <name6> )	<name6> を整数にする
int ( <name1> )	<name1> を整数にする
int ( <name3> )	整数に <name3> を置き換える
int ( <name1> )	整数に <name1> を置き換える
int ( <name6> )	<name6> を整数型に変換する
int ( <name1> )	<name1> を整数型に変換する
int ( <name6> )	整数に <name6> を直す
int ( <name1> )	整数に <name1> を直す
int ( <name4> )	整数型に <name4> を直す
int ( <name1> )	整数型に <name1> を直す
int ( <name5> )	<name5> を整数に直す
int ( <name1> )	<name1> を整数に直す
int ( <name3> )	整数に <name3> を変換する
int ( <name1> )	整数に <name1> を変換する
int ( <name6> )	整数に <name6> をする
int ( <name1> )	整数に <name1> をする
int ( <name6> )	<name6> を整数型に直す
int ( <name1> )	<name1> を整数型に直す
int ( <name4> )	整数型に <name4> を変換する
int ( <name1> )	整数型に <name1> を変換する
int ( <name4> )	<name4> を整数型に置き換える
int ( <name1> )	<name1> を整数型に置き換える
int ( <name6> )	整数型に <name6> をする
int ( <name1> )	整数型に <name1> をする
int ( <name3> )	整数型に <name3> を置き換える
int ( <name1> )	整数型に <name1> を置き換える
int ( <name5> )	<name5> を整数型にする
int ( <name1> )	<name1> を整数型にする
<name1> = int ( <name2> )	<name2> を整数型にし、 <name1> に代入する
<name1> = int ( <name3> )	<name3> を整数型にした結果を <name1> にする
<name1> = int ( <name2> )	<name2> を整数型にした結果を <name1> にする
<name1> = int ( <name2> )	整数に <name2> をして、 <name1> にする
<name2> = int ( <name1> )	整数に <name1> をした結果を <name2> とする
<name1> = int ( <name2> )	整数に <name2> をした結果を <name1> とする
<name3> = int ( <name5> )	<name5> を整数にして、 <name3> にする
<name1> = int ( <name2> )	<name2> を整数にして、 <name1> にする
<name5> = int ( <name1> )	<name1> を整数にされた結果を <name5> とする
<name1> = int ( <name2> )	<name2> を整数にされた結果を <name1> とする
<name2> = int ( <name4> )	<name4> を整数に置き換えて、 <name2> にする
<name1> = int ( <name2> )	<name2> を整数に置き換えて、 <name1> にする
<name2> = int ( <name3> )	<name3> を整数に置き換えた結果を <name2> にする
<name1> = int ( <name2> )	<name2> を整数に置き換えた結果を <name1> にする
<name4> = int ( <name5> )	整数に <name5> を置き換え、 <name4> に代入する
<name1> = int ( <name2> )	整数に <name2> を置き換え、 <name1> に代入する
<name6> = int ( <name1> )	整数に <name1> を置き換えられた結果を <name6> とする
<name1> = int ( <name2> )	整数に <name2> を置き換えられた結果を <name1> とする
<name2> = int ( <name3> )	<name3> を整数型に直して、 <name2> にする
<name1> = int ( <name2> )	<name2> を整数型に直して、 <name1> にする
<name2> = int ( <name5> )	<name5> を整数型に直された結果を <name2> に代入する
<name1> = int ( <name2> )	<name2> を整数型に直された結果を <name1> に代入する
<name2> = int ( <name3> )	整数型に <name3> を直して、 <name2> にする
<name1> = int ( <name2> )	整数型に <name2> を直して、 <name1> にする
<name4> = int ( <name5> )	整数型に <name5> を直した結果を <name4> にする
<name1> = int ( <name2> )	整数型に <name2> を直した結果を <name1> にする
<name4> = int ( <name5> )	整数型に <name5> を置き換え、 <name4> にする
<name1> = int ( <name2> )	整数型に <name2> を置き換え、 <name1> にする
<name3> = int ( <name1> )	整数型に <name1> を置き換えられた結果を <name3> にする
<name1> = int ( <name2> )	整数型に <name2> を置き換えられた結果を <name1> にする
<name5> = int ( <name4> )	整数に <name4> を変換し、 <name5> とする
<name1> = int ( <name2> )	整数に <name2> を変換し、 <name1> とする
<name4> = int ( <name3> )	整数に <name3> を変換された結果を <name4> とする
<name1> = int ( <name2> )	整数に <name2> を変換された結果を <name1> とする
<name5> = int ( <name1> )	<name1> を整数に直して、 <name5> にする
<name1> = int ( <name2> )	<name2> を整数に直して、 <name1> にする
<name5> = int ( <name3> )	<name3> を整数に直された結果を <name5> に代入する
<name1> = int ( <name2> )	<name2> を整数に直された結果を <name1> に代入する
<name2> = int ( <name3> )	整数に <name3> を直して、 <name2> にする
<name1> = int ( <name2> )	整数に <name2> を直して、 <name1> にする
<name4> = int ( <name6> )	整数に <name6> を直された結果を <name4> にする
<name1> = int ( <name2> )	整数に <name2> を直された結果を <name1> にする
<name1> = int ( <name6> )	整数型に <name6> をし、 <name1> に代入する
<name1> = int ( <name2> )	整数型に <name2> をし、 <name1> に代入する
<name2> = int ( <name5> )	整数型に <name5> をされた結果を <name2> とする
<name1> = int ( <name2> )	整数型に <name2> をされた結果を <name1> とする
<name6> = int ( <name1> )	<name1> を整数に変換し、 <name6> とする
<name1> = int ( <name2> )	<name2> を整数に変換し、 <name1> とする
<name5> = int ( <name3> )	<name3> を整数に変換した結果を <name5> にする
<name1> = int ( <name2> )	<name2> を整数に変換した結果を <name1> にする
<name6> = int ( <name4> )	<name4> を整数型に変換して、 <name6> とする
<name1> = int ( <name2> )	<name2> を整数型に変換して、 <name1> とする
<name6> = int ( <name1> )	<name1> を整数型に変換した結果を <name6> とする
<name1> = int ( <name2> )	<name2> を整数型に変換した結果を <name1> とする
<name1> = int ( <name2> )	<name2> を整数型に置き換えて、 <name1> に代入する
<name6> = int ( <name5> )	<name5> を整数型に置き換えた結果を <name6> に代入する
<name1> = int ( <name2> )	<name2> を整数型に置き換えた結果を <name1> に代入する
int ( <name2> )	<name2> を変換した整数
int ( <name1> )	<name1> を変換した整数
<name5> = int ( <name4> )	<name4> を変換した整数を <name5> に代入する
<name1> = int ( <name2> )	<name2> を変換した整数を <name1> に代入する
int ( <name2> )	<name2> を整数型として取得する
int ( <name1> )	<name1> を整数型として取得する
int ( <name6> )	整数として <name6> を得る
int ( <name1> )	整数として <name1> を得る
int ( <name1> )	<name1> を整数型として得る
int ( <name1> )	<name1> を整数として得る
int ( <name3> )	整数型として <name3> を得る
int ( <name1> )	整数型として <name1> を得る
int ( <name6> )	整数として <name6> を取得する
int ( <name1> )	整数として <name1> を取得する
int ( <name3> )	整数型として <name3> を取得する
int ( <name1> )	整数型として <name1> を取得する
int ( <name3> )	<name3> を整数として取得する
int ( <name1> )	<name1> を整数として取得する
<name6> = int ( <name3> )	<name3> を整数型として取得して、 <name6> にする
<name1> = int ( <name2> )	<name2> を整数型として取得して、 <name1> にする
<name3> = int ( <name4> )	<name4> を整数型として取得された結果を <name3> に代入する
<name1> = int ( <name2> )	<name2> を整数型として取得された結果を <name1> に代入する
<name5> = int ( <name1> )	整数として <name1> を得、 <name5> に代入する
<name1> = int ( <name2> )	整数として <name2> を得、 <name1> に代入する
<name3> = int ( <name2> )	整数として <name2> を得た結果を <name3> に代入する
<name1> = int ( <name2> )	整数として <name2> を得た結果を <name1> に代入する
<name3> = int ( <name6> )	<name6> を整数として得、 <name3> にする
<name1> = int ( <name2> )	<name2> を整数として得、 <name1> にする
<name3> = int ( <name5> )	<name5> を整数として得た結果を <name3> に代入する
<name1> = int ( <name2> )	<name2> を整数として得た結果を <name1> に代入する
<name2> = int ( <name5> )	整数として <name5> を取得して、 <name2> に代入する
<name1> = int ( <name2> )	整数として <name2> を取得して、 <name1> に代入する
<name3> = int ( <name1> )	整数として <name1> を取得した結果を <name3> にする
<name1> = int ( <name2> )	整数として <name2> を取得した結果を <name1> にする
<name6> = int ( <name1> )	整数型として <name1> を得て、 <name6> に代入する
<name1> = int ( <name2> )	整数型として <name2> を得て、 <name1> に代入する
<name3> = int ( <name1> )	整数型として <name1> を得た結果を <name3> にする
<name1> = int ( <name2> )	整数型として <name2> を得た結果を <name1> にする
<name2> = int ( <name4> )	整数型として <name4> を取得し、 <name2> とする
<name1> = int ( <name2> )	整数型として <name2> を取得し、 <name1> とする
<name4> = int ( <name3> )	整数型として <name3> を取得された結果を <name4> とする
<name1> = int ( <name2> )	整数型として <name2> を取得された結果を <name1> とする
<name2> = int ( <name1> )	<name1> を整数として取得して、 <name2> にする
<name1> = int ( <name2> )	<name2> を整数として取得して、 <name1> にする
<name2> = int ( <name1> )	<name1> を整数として取得した結果を <name2> とする
<name1> = int ( <name2> )	<name2> を整数として取得した結果を <name1> とする
<name4> = int ( <name2> )	<name2> を整数型として得て、 <name4> とする
<name1> = int ( <name2> )	<name2> を整数型として得て、 <name1> とする
<name2> = int ( <name3> )	<name3> を整数型として得られた結果を <name2> に代入する
<name1> = int ( <name2> )	<name2> を整数型として得られた結果を <name1> に代入する
str ( <name3> )	<name3> を文字列に変換する
str ( <name1> )	<name1> を文字列に変換する
str ( <name2> )	<name2> を文字列型に変換する
str ( <name1> )	<name1> を文字列型に変換する
str ( <name4> )	<name4> を文字列にする
str ( <name1> )	<name1> を文字列にする
str ( <name5> )	<name5> を文字列に直す
str ( <name1> )	<name1> を文字列に直す
str ( <name3> )	<name3> を文字列に置き換える
str ( <name1> )	<name1> を文字列に置き換える
str ( <name1> )	文字列型に <name1> を変換する
str ( <name5> )	<name5> を文字列型にする
str ( <name1> )	<name1> を文字列型にする
str ( <name5> )	<name5> を文字列型に直す
str ( <name1> )	<name1> を文字列型に直す
str ( <name6> )	文字列型に <name6> をする
str ( <name1> )	文字列型に <name1> をする
str ( <name1> )	文字列に <name1> を置き換える
str ( <name1> )	文字列に <name1> を変換する
str ( <name1> )	文字列に <name1> を直す
str ( <name6> )	文字列に <name6> をする
str ( <name1> )	文字列に <name1> をする
str ( <name2> )	文字列型に <name2> を置き換える
str ( <name1> )	文字列型に <name1> を置き換える
str ( <name1> )	<name1> を文字列型に置き換える
str ( <name5> )	文字列型に <name5> を直す
str ( <name1> )	文字列型に <name1> を直す
<name3> = str ( <name5> )	<name5> を文字列に変換して、 <name3> とする
<name1> = str ( <name2> )	<name2> を文字列に変換して、 <name1> とする
<name1> = str ( <name2> )	<name2> を文字列に変換した結果を <name1> にする
<name6> = str ( <name2> )	<name2> を文字列型に直し、 <name6> に代入する
<name1> = str ( <name2> )	<name2> を文字列型に直し、 <name1> に代入する
<name3> = str ( <name4> )	<name4> を文字列型に直された結果を <name3> に代入する
<name1> = str ( <name2> )	<name2> を文字列型に直された結果を <name1> に代入する
<name5> = str ( <name3> )	<name3> を文字列に直し、 <name5> とする
<name1> = str ( <name2> )	<name2> を文字列に直し、 <name1> とする
<name3> = str ( <name1> )	<name1> を文字列に直した結果を <name3> とする
<name1> = str ( <name2> )	<name2> を文字列に直した結果を <name1> とする
<name3> = str ( <name5> )	文字列型に <name5> を置き換え、 <name3> にする
<name1> = str ( <name2> )	文字列型に <name2> を置き換え、 <name1> にする
<name3> = str ( <name4> )	文字列型に <name4> を置き換えた結果を <name3> にする
<name1> = str ( <name2> )	文字列型に <name2> を置き換えた結果を <name1> にする
<name6> = str ( <name4> )	<name4> を文字列に置き換え、 <name6> に代入する
<name1> = str ( <name2> )	<name2> を文字列に置き換え、 <name1> に代入する
<name6> = str ( <name3> )	<name3> を文字列に置き換えた結果を <name6> に代入する
<name1> = str ( <name2> )	<name2> を文字列に置き換えた結果を <name1> に代入する
<name6> = str ( <name5> )	<name5> を文字列型に置き換えて、 <name6> とする
<name1> = str ( <name2> )	<name2> を文字列型に置き換えて、 <name1> とする
<name1> = str ( <name2> )	<name2> を文字列型に置き換えられた結果を <name1> とする
<name6> = str ( <name5> )	文字列に <name5> を変換して、 <name6> に代入する
<name1> = str ( <name2> )	文字列に <name2> を変換して、 <name1> に代入する
<name5> = str ( <name2> )	文字列に <name2> を変換した結果を <name5> に代入する
<name1> = str ( <name2> )	文字列に <name2> を変換した結果を <name1> に代入する
<name6> = str ( <name5> )	文字列に <name5> をして、 <name6> にする
<name1> = str ( <name2> )	文字列に <name2> をして、 <name1> にする
<name6> = str ( <name5> )	文字列に <name5> をされた結果を <name6> にする
<name1> = str ( <name2> )	文字列に <name2> をされた結果を <name1> にする
<name3> = str ( <name2> )	<name2> を文字列にして、 <name3> にする
<name1> = str ( <name2> )	<name2> を文字列にして、 <name1> にする
<name1> = str ( <name4> )	<name4> を文字列にされた結果を <name1> に代入する
<name1> = str ( <name2> )	<name2> を文字列にされた結果を <name1> に代入する
<name2> = str ( <name4> )	<name4> を文字列型にして、 <name2> にする
<name1> = str ( <name2> )	<name2> を文字列型にして、 <name1> にする
<name3> = str ( <name4> )	<name4> を文字列型にした結果を <name3> にする
<name1> = str ( <name2> )	<name2> を文字列型にした結果を <name1> にする
<name5> = str ( <name2> )	<name2> を文字列型に変換し、 <name5> に代入する
<name1> = str ( <name2> )	<name2> を文字列型に変換し、 <name1> に代入する
<name1> = str ( <name5> )	<name5> を文字列型に変換した結果を <name1> にする
<name1> = str ( <name2> )	<name2> を文字列型に変換した結果を <name1> にする
<name6> = str ( <name2> )	文字列型に <name2> をし、 <name6> に代入する
<name1> = str ( <name2> )	文字列型に <name2> をし、 <name1> に代入する
<name2> = str ( <name6> )	文字列型に <name6> をした結果を <name2> にする
<name1> = str ( <name2> )	文字列型に <name2> をした結果を <name1> にする
<name6> = str ( <name2> )	文字列に <name2> を直し、 <name6> にする
<name1> = str ( <name2> )	文字列に <name2> を直し、 <name1> にする
<name1> = str ( <name4> )	文字列に <name4> を直した結果を <name1> に代入する
<name1> = str ( <name2> )	文字列に <name2> を直した結果を <name1> に代入する
<name6> = str ( <name3> )	文字列型に <name3> を変換し、 <name6> に代入する
<name1> = str ( <name2> )	文字列型に <name2> を変換し、 <name1> に代入する
<name1> = str ( <name2> )	文字列型に <name2> を変換した結果を <name1> に代入する
<name1> = str ( <name3> )	文字列に <name3> を置き換えて、 <name1> に代入する
<name1> = str ( <name2> )	文字列に <name2> を置き換えて、 <name1> に代入する
<name5> = str ( <name3> )	文字列に <name3> を置き換えられた結果を <name5> とする
<name1> = str ( <name2> )	文字列に <name2> を置き換えられた結果を <name1> とする
<name6> = str ( <name1> )	文字列型に <name1> を直し、 <name6> とする
<name1> = str ( <name2> )	文字列型に <name2> を直し、 <name1> とする
<name4> = str ( <name6> )	文字列型に <name6> を直された結果を <name4> とする
<name1> = str ( <name2> )	文字列型に <name2> を直された結果を <name1> とする
str ( <name4> )	<name4> を変換した文字列
str ( <name1> )	<name1> を変換した文字列
<name1> = str ( <name5> )	<name5> を変換した文字列を <name1> にする
<name1> = str ( <name2> )	<name2> を変換した文字列を <name1> にする
str ( <name5> )	<name5> を文字列型として取得する
str ( <name1> )	<name1> を文字列型として取得する
str ( <name1> )	<name1> を文字列として得る
str ( <name1> )	文字列型として <name1> を得る
str ( <name6> )	文字列として <name6> を取得する
str ( <name1> )	文字列として <name1> を取得する
str ( <name2> )	<name2> を文字列として取得する
str ( <name1> )	<name1> を文字列として取得する
str ( <name5> )	<name5> を文字列型として得る
str ( <name1> )	<name1> を文字列型として得る
str ( <name1> )	文字列として <name1> を得る
str ( <name6> )	文字列型として <name6> を取得する
str ( <name1> )	文字列型として <name1> を取得する
<name6> = str ( <name5> )	<name5> を文字列型として取得し、 <name6> とする
<name1> = str ( <name2> )	<name2> を文字列型として取得し、 <name1> とする
<name2> = str ( <name5> )	<name5> を文字列型として取得した結果を <name2> とする
<name1> = str ( <name2> )	<name2> を文字列型として取得した結果を <name1> とする
<name5> = str ( <name4> )	<name4> を文字列として得、 <name5> にする
<name1> = str ( <name2> )	<name2> を文字列として得、 <name1> にする
<name2> = str ( <name4> )	<name4> を文字列として得た結果を <name2> とする
<name1> = str ( <name2> )	<name2> を文字列として得た結果を <name1> とする
<name2> = str ( <name6> )	<name6> を文字列として取得し、 <name2> に代入する
<name1> = str ( <name2> )	<name2> を文字列として取得し、 <name1> に代入する
<name3> = str ( <name5> )	<name5> を文字列として取得された結果を <name3> にする
<name1> = str ( <name2> )	<name2> を文字列として取得された結果を <name1> にする
<name6> = str ( <name3> )	<name3> を文字列型として得、 <name6> とする
<name1> = str ( <name2> )	<name2> を文字列型として得、 <name1> とする
<name2> = str ( <name1> )	<name1> を文字列型として得た結果を <name2> にする
<name1> = str ( <name2> )	<name2> を文字列型として得た結果を <name1> にする
<name2> = str ( <name4> )	文字列として <name4> を取得して、 <name2> にする
<name1> = str ( <name2> )	文字列として <name2> を取得して、 <name1> にする
<name1> = str ( <name2> )	文字列として <name2> を取得した結果を <name1> にする
<name1> = str ( <name4> )	文字列型として <name4> を得、 <name1> に代入する
<name1> = str ( <name2> )	文字列型として <name2> を得、 <name1> に代入する
<name5> = str ( <name2> )	文字列型として <name2> を得た結果を <name5> とする
<name1> = str ( <name2> )	文字列型として <name2> を得た結果を <name1> とする
<name1> = str ( <name4> )	文字列型として <name4> を取得し、 <name1> とする
<name1> = str ( <name2> )	文字列型として <name2> を取得し、 <name1> とする
<name2> = str ( <name1> )	文字列型として <name1> を取得した結果を <name2> とする
<name1> = str ( <name2> )	文字列型として <name2> を取得した結果を <name1> とする
<name3> = str ( <name6> )	文字列として <name6> を得、 <name3> に代入する
<name1> = str ( <name2> )	文字列として <name2> を得、 <name1> に代入する
<name6> = str ( <name1> )	文字列として <name1> を得た結果を <name6> に代入する
<name1> = str ( <name2> )	文字列として <name2> を得た結果を <name1> に代入する
list ( <name1> )	<name1> のリスト
<name6> = list ( <name4> )	<name4> のリストを <name6> に代入する
<name1> = list ( <name2> )	<name2> のリストを <name1> に代入する
list ( <name1> )	<name1> をリストに変換する
list ( <name6> )	リストに <name6> を直す
list ( <name1> )	リストに <name1> を直す
list ( <name2> )	<name2> をリストにする
list ( <name1> )	<name1> をリストにする
list ( <name2> )	<name2> をリストに置き換える
list ( <name1> )	<name1> をリストに置き換える
list ( <name6> )	リストに <name6> を置き換える
list ( <name1> )	リストに <name1> を置き換える
list ( <name1> )	リストに <name1> を変換する
list ( <name1> )	<name1> をリストに直す
list ( <name1> )	リスト型に <name1> を直す
list ( <name6> )	<name6> をリスト型にする
list ( <name1> )	<name1> をリスト型にする
list ( <name3> )	リスト型に <name3> を置き換える
list ( <name1> )	リスト型に <name1> を置き換える
list ( <name1> )	リスト型に <name1> を変換する
list ( <name4> )	<name4> をリスト型に置き換える
list ( <name1> )	<name1> をリスト型に置き換える
list ( <name5> )	リストに <name5> をする
list ( <name1> )	リストに <name1> をする
list ( <name1> )	<name1> をリスト型に変換する
list ( <name5> )	リスト型に <name5> をする
list ( <name1> )	リスト型に <name1> をする
list ( <name2> )	<name2> をリスト型に直す
list ( <name1> )	<name1> をリスト型に直す
<name1> = list ( <name5> )	<name5> をリストに変換して、 <name1> とする
<name1> = list ( <name2> )	<name2> をリストに変換して、 <name1> とする
<name3> = list ( <name1> )	<name1> をリストに変換された結果を <name3> とする
<name1> = list ( <name2> )	<name2> をリストに変換された結果を <name1> とする
<name5> = list ( <name3> )	リスト型に <name3> を直し、 <name5> に代入する
<name1> = list ( <name2> )	リスト型に <name2> を直し、 <name1> に代入する
<name4> = list ( <name6> )	リスト型に <name6> を直された結果を <name4> とする
<name1> = list ( <name2> )	リスト型に <name2> を直された結果を <name1> とする
<name1> = list ( <name3> )	<name3> をリスト型に直し、 <name1> にする
<name1> = list ( <name2> )	<name2> をリスト型に直し、 <name1> にする
<name1> = list ( <name3> )	<name3> をリスト型に直した結果を <name1> にする
<name1> = list ( <name2> )	<name2> をリスト型に直した結果を <name1> にする
<name5> = list ( <name1> )	<name1> をリストにして、 <name5> とする
<name1> = list ( <name2> )	<name2> をリストにして、 <name1> とする
<name2> = list ( <name3> )	<name3> をリストにされた結果を <name2> にする
<name1> = list ( <name2> )	<name2> をリストにされた結果を <name1> にする
<name4> = list ( <name2> )	<name2> をリストに直し、 <name4> とする
<name1> = list ( <name2> )	<name2> をリストに直し、 <name1> とする
<name3> = list ( <name4> )	<name4> をリストに直した結果を <name3> にする
<name1> = list ( <name2> )	<name2> をリストに直した結果を <name1> にする
<name5> = list ( <name6> )	リストに <name6> を変換して、 <name5> とする
<name1> = list ( <name2> )	リストに <name2> を変換して、 <name1> とする
<name5> = list ( <name2> )	リストに <name2> を変換された結果を <name5> にする
<name1> = list ( <name2> )	リストに <name2> を変換された結果を <name1> にする
<name2> = list ( <name3> )	<name3> をリストに置き換え、 <name2> とする
<name1> = list ( <name2> )	<name2> をリストに置き換え、 <name1> とする
<name5> = list ( <name2> )	<name2> をリストに置き換えた結果を <name5> にする
<name1> = list ( <name2> )	<name2> をリストに置き換えた結果を <name1> にする
<name6> = list ( <name2> )	リストに <name2> を直し、 <name6> とする
<name1> = list ( <name2> )	リストに <name2> を直し、 <name1> とする
<name5> = list ( <name2> )	リストに <name2> を直した結果を <name5> にする
<name1> = list ( <name2> )	リストに <name2> を直した結果を <name1> にする
<name1> = list ( <name5> )	リストに <name5> をして、 <name1> にする
<name1> = list ( <name2> )	リストに <name2> をして、 <name1> にする
<name1> = list ( <name6> )	リストに <name6> をした結果を <name1> とする
<name1> = list ( <name2> )	リストに <name2> をした結果を <name1> とする
<name2> = list ( <name3> )	リスト型に <name3> を置き換えて、 <name2> にする
<name1> = list ( <name2> )	リスト型に <name2> を置き換えて、 <name1> にする
<name4> = list ( <name2> )	リスト型に <name2> を置き換えた結果を <name4> に代入する
<name1> = list ( <name2> )	リスト型に <name2> を置き換えた結果を <name1> に代入する
<name4> = list ( <name2> )	<name2> をリスト型に変換して、 <name4> に代入する
<name1> = list ( <name2> )	<name2> をリスト型に変換して、 <name1> に代入する
<name1> = list ( <name4> )	<name4> をリスト型に変換した結果を <name1> に代入する
<name1> = list ( <name2> )	<name2> をリスト型に変換した結果を <name1> に代入する
<name2> = list ( <name4> )	<name4> をリスト型に置き換え、 <name2> に代入する
<name1> = list ( <name2> )	<name2> をリスト型に置き換え、 <name1> に代入する
<name2> = list ( <name4> )	<name4> をリスト型に置き換えた結果を <name2> にする
<name1> = list ( <name2> )	<name2> をリスト型に置き換えた結果を <name1> にする
<name6> = list ( <name2> )	リスト型に <name2> を変換して、 <name6> にする
<name1> = list ( <name2> )	リスト型に <name2> を変換して、 <name1> にする
<name3> = list ( <name1> )	リスト型に <name1> を変換された結果を <name3> に代入する
<name1> = list ( <name2> )	リスト型に <name2> を変換された結果を <name1> に代入する
<name1> = list ( <name4> )	リストに <name4> を置き換え、 <name1> にする
<name1> = list ( <name2> )	リストに <name2> を置き換え、 <name1> にする
<name3> = list ( <name6> )	リストに <name6> を置き換えた結果を <name3> に代入する
<name1> = list ( <name2> )	リストに <name2> を置き換えた結果を <name1> に代入する
<name2> = list ( <name5> )	<name5> をリスト型にし、 <name2> に代入する
<name1> = list ( <name2> )	<name2> をリスト型にし、 <name1> に代入する
<name3> = list ( <name1> )	<name1> をリスト型にした結果を <name3> に代入する
<name1> = list ( <name2> )	<name2> をリスト型にした結果を <name1> に代入する
<name4> = list ( <name5> )	リスト型に <name5> をし、 <name4> に代入する
<name1> = list ( <name2> )	リスト型に <name2> をし、 <name1> に代入する
<name5> = list ( <name2> )	リスト型に <name2> をされた結果を <name5> にする
<name1> = list ( <name2> )	リスト型に <name2> をされた結果を <name1> にする
list ( <name1> )	<name1> をリスト型として取得する
list ( <name4> )	リスト型として <name4> を得る
list ( <name1> )	リスト型として <name1> を得る
list ( <name6> )	<name6> をリスト型として得る
list ( <name1> )	<name1> をリスト型として得る
list ( <name3> )	リストとして <name3> を取得する
list ( <name1> )	リストとして <name1> を取得する
list ( <name4> )	<name4> をリストとして得る
list ( <name1> )	<name1> をリストとして得る
list ( <name1> )	リストとして <name1> を得る
list ( <name3> )	リスト型として <name3> を取得する
list ( <name1> )	リスト型として <name1> を取得する
list ( <name1> )	<name1> をリストとして取得する
<name4> = list ( <name5> )	<name5> をリスト型として取得して、 <name4> にする
<name1> = list ( <name2> )	<name2> をリスト型として取得して、 <name1> にする
<name3> = list ( <name1> )	<name1> をリスト型として取得された結果を <name3> とする
<name1> = list ( <name2> )	<name2> をリスト型として取得された結果を <name1> とする
<name5> = list ( <name2> )	リスト型として <name2> を取得し、 <name5> に代入する
<name1> = list ( <name2> )	リスト型として <name2> を取得し、 <name1> に代入する
<name3> = list ( <name6> )	リスト型として <name6> を取得した結果を <name3> とする
<name1> = list ( <name2> )	リスト型として <name2> を取得した結果を <name1> とする
<name6> = list ( <name1> )	<name1> をリストとして得、 <name6> にする
<name1> = list ( <name2> )	<name2> をリストとして得、 <name1> にする
<name1> = list ( <name2> )	<name2> をリストとして得た結果を <name1> にする
<name1> = list ( <name6> )	リスト型として <name6> を得、 <name1> に代入する
<name1> = list ( <name2> )	リスト型として <name2> を得、 <name1> に代入する
<name5> = list ( <name6> )	リスト型として <name6> を得た結果を <name5> とする
<name1> = list ( <name2> )	リスト型として <name2> を得た結果を <name1> とする
<name1> = list ( <name4> )	リストとして <name4> を得て、 <name1> とする
<name1> = list ( <name2> )	リストとして <name2> を得て、 <name1> とする
<name5> = list ( <name2> )	リストとして <name2> を得た結果を <name5> にする
<name1> = list ( <name2> )	リストとして <name2> を得た結果を <name1> にする
<name2> = list ( <name6> )	<name6> をリストとして取得して、 <name2> に代入する
<name1> = list ( <name2> )	<name2> をリストとして取得して、 <name1> に代入する
<name3> = list ( <name6> )	<name6> をリストとして取得した結果を <name3> にする
<name1> = list ( <name2> )	<name2> をリストとして取得した結果を <name1> にする
<name3> = list ( <name6> )	<name6> をリスト型として得、 <name3> にする
<name1> = list ( <name2> )	<name2> をリスト型として得、 <name1> にする
<name1> = list ( <name5> )	<name5> をリスト型として得た結果を <name1> とする
<name1> = list ( <name2> )	<name2> をリスト型として得た結果を <name1> とする
<name4> = list ( <name6> )	リストとして <name6> を取得し、 <name4> にする
<name1> = list ( <name2> )	リストとして <name2> を取得し、 <name1> にする
<name6> = list ( <name4> )	リストとして <name4> を取得した結果を <name6> に代入する
<name1> = list ( <name2> )	リストとして <name2> を取得した結果を <name1> に代入する
type ( <name5> )	<name5> のタイプ
type ( <name1> )	<name1> のタイプ
type ( <name6> )	<name6> の型
type ( <name1> )	<name1> の型
type ( <name3> )	<name3> のタイプをえる
type ( <name1> )	<name1> のタイプをえる
type ( <name6> )	<name6> の型を取得する
type ( <name1> )	<name1> の型を取得する
type ( <name4> )	<name4> のタイプを確認する
type ( <name1> )	<name1> のタイプを確認する
type ( <name4> )	<name4> の型を確認する
type ( <name1> )	<name1> の型を確認する
<name6> == <name2>	<name6> と <name2> が等しいかどうか
