<name4> = <val1>	<name4> に <val1> を代入する
print ( <name1> , sep = '' )	<name1> の出力を区切らないで行う
print ( <name2> , sep = ',' )	カンマ区切りで <name2> をプリントする
print ( <name1> , sep = ',' )	カンマ区切りで <name1> をプリントする
print ( <name3> , sep = <val2> )	<val2> 区切りで <name3> をプリントする
print ( <name1> , sep = <val2> )	<val2> 区切りで <name1> をプリントする
print ( <name1> , sep = ',' )	<name1> の出力をカンマ区切りで行う
print ( <val1> )	<val1> とプリントする
print ( 'Hello World' )	「ハローワールド」とプリントする
print ( 'Hello World' )	試しに何か動かす
print ( 'Hello World' )	最初のプログラム
print ( '{:.5f}' . format ( <name1> ) )	<name1> の小数点以下 5 桁までをプリントする
print ( '{:.5f}' . format ( <name4> ) )	<name4> の小数点以下を 5 桁までプリントする
print ( '{:.5f}' . format ( <name1> ) )	<name1> の小数点以下を 5 桁までプリントする
print ( '{:.5f}' . format ( <name3> ) )	<name3> の小数点以下を 5 桁で揃える
print ( '{:.5f}' . format ( <name1> ) )	<name1> の小数点以下を 5 桁で揃える
print ( '{:.5f}' . format ( <name2> ) )	<name2> の小数部を 5 桁で丸める
print ( '{:.5f}' . format ( <name1> ) )	<name1> の小数部を 5 桁で丸める
print ( * <name2> )	<name2> を展開してプリントする
print ( * <name1> )	<name1> を展開してプリントする
input ( )	ユーザから入力を受け取る
<name3> = input ( )	ユーザから入力を受け取って、 <name3> に代入する
<name1> = input ( )	ユーザから入力を受け取って、 <name1> に代入する
<name3> = input ( )	ユーザから入力を受け取った結果を <name3> にする
<name1> = input ( )	ユーザから入力を受け取った結果を <name1> にする
input ( )	入力値を受け取る
<name4> = input ( )	入力値を受け取って、 <name4> とする
<name1> = input ( )	入力値を受け取って、 <name1> とする
<name1> = input ( )	入力値を受け取った結果を <name1> とする
input ( )	ユーザが入力した文字列
<name5> = input ( )	ユーザが入力した文字列を <name5> にする
<name1> = input ( )	ユーザが入力した文字列を <name1> にする
input ( )	ユーザから入力された文字列
<name6> = input ( )	ユーザから入力された文字列を <name6> に代入する
<name1> = input ( )	ユーザから入力された文字列を <name1> に代入する
input ( )	入力された文字列
<name5> = input ( )	入力された文字列を <name5> に代入する
<name1> = input ( )	入力された文字列を <name1> に代入する
input ( )	文字列を入力する
<name5> = input ( )	文字列を入力して、 <name5> に代入する
<name1> = input ( )	文字列を入力して、 <name1> に代入する
<name3> = input ( )	文字列を入力した結果を <name3> にする
<name1> = input ( )	文字列を入力した結果を <name1> にする
input ( )	データを入力する
<name3> = input ( )	データを入力して、 <name3> に代入する
<name1> = input ( )	データを入力して、 <name1> に代入する
<name4> = input ( )	データを入力した結果を <name4> とする
<name1> = input ( )	データを入力した結果を <name1> とする
int ( input ( ) )	ユーザから入力を整数値として受け取る
<name2> = int ( input ( ) )	ユーザから入力を数字として受け取り、 <name2> にする
<name1> = int ( input ( ) )	ユーザから入力を数字として受け取り、 <name1> にする
<name4> = int ( input ( ) )	ユーザから入力を数字として受け取られた結果を <name4> に代入する
<name1> = int ( input ( ) )	ユーザから入力を数字として受け取られた結果を <name1> に代入する
int ( input ( ) )	整数値を受け取る
<name5> = int ( input ( ) )	整数値を受け取って、 <name5> とする
<name1> = int ( input ( ) )	整数値を受け取って、 <name1> とする
<name1> = int ( input ( ) )	整数値を受け取った結果を <name1> に代入する
int ( input ( ) )	ユーザが入力した整数値
<name5> = int ( input ( ) )	ユーザが入力した整数値を <name5> とする
<name1> = int ( input ( ) )	ユーザが入力した整数値を <name1> とする
int ( input ( ) )	ユーザから入力された整数値
<name5> = int ( input ( ) )	ユーザから入力された整数値を <name5> に代入する
<name1> = int ( input ( ) )	ユーザから入力された整数値を <name1> に代入する
int ( input ( ) )	入力された整数値
<name3> = int ( input ( ) )	入力された整数値を <name3> とする
<name1> = int ( input ( ) )	入力された整数値を <name1> とする
int ( input ( ) )	整数値を入力する
<name2> = int ( input ( ) )	整数値を入力し、 <name2> とする
<name1> = int ( input ( ) )	整数値を入力し、 <name1> とする
<name5> = int ( input ( ) )	整数値を入力した結果を <name5> にする
<name1> = int ( input ( ) )	整数値を入力した結果を <name1> にする
int ( input ( ) )	数値データを入力する
<name6> = int ( input ( ) )	数値データを入力し、 <name6> に代入する
<name1> = int ( input ( ) )	数値データを入力し、 <name1> に代入する
<name1> = int ( input ( ) )	数値データを入力した結果を <name1> とする
list ( input ( ) )	複数の入力値をリストとして受け取る
<name5> = list ( input ( ) )	複数の入力値をリストとして受け取り、 <name5> に代入する
<name1> = list ( input ( ) )	複数の入力値をリストとして受け取り、 <name1> に代入する
<name4> = list ( input ( ) )	複数の入力値をリストとして受け取った結果を <name4> に代入する
<name1> = list ( input ( ) )	複数の入力値をリストとして受け取った結果を <name1> に代入する
list ( input ( ) )	ユーザが入力したデータをリストに入れる
<name2> = list ( input ( ) )	ユーザが入力したデータをリストに突っ込んで、 <name2> に代入する
<name1> = list ( input ( ) )	ユーザが入力したデータをリストに突っ込んで、 <name1> に代入する
<name5> = list ( input ( ) )	ユーザが入力したデータをリストに突っ込んだ結果を <name5> に代入する
<name1> = list ( input ( ) )	ユーザが入力したデータをリストに突っ込んだ結果を <name1> に代入する
list ( input ( ) )	ユーザが入力したデータをリストに変換する
<name4> = list ( input ( ) )	ユーザが入力した値をリストに変換し、 <name4> に代入する
<name1> = list ( input ( ) )	ユーザが入力した値をリストに変換し、 <name1> に代入する
<name6> = list ( input ( ) )	ユーザが入力した値をリストに変換した結果を <name6> に代入する
<name1> = list ( input ( ) )	ユーザが入力した値をリストに変換した結果を <name1> に代入する
list ( input ( ) )	ユーザが入力した値をリスト化する
<name5> = list ( input ( ) )	ユーザが入力した値をリスト化し、 <name5> にする
<name1> = list ( input ( ) )	ユーザが入力した値をリスト化し、 <name1> にする
<name4> = list ( input ( ) )	ユーザが入力した値をリスト化した結果を <name4> とする
<name1> = list ( input ( ) )	ユーザが入力した値をリスト化した結果を <name1> とする
list ( map ( int , input ( ) . split ( ) ) )	空白ごとに入力された複数の整数をリストとして受け取る
<name2> = list ( map ( int , input ( ) . split ( ) ) )	空白ごとに入力された複数の整数をリストとして受け取り、 <name2> に代入する
<name1> = list ( map ( int , input ( ) . split ( ) ) )	空白ごとに入力された複数の整数をリストとして受け取り、 <name1> に代入する
<name4> = list ( map ( int , input ( ) . split ( ) ) )	空白ごとに入力された複数の整数をリストとして受け取られた結果を <name4> に代入する
<name1> = list ( map ( int , input ( ) . split ( ) ) )	空白ごとに入力された複数の整数をリストとして受け取られた結果を <name1> に代入する
list ( map ( int , input ( ) . split ( ) ) )	ユーザが入力した整数値をスペースで区切ってリストとして受け取る
<name5> = list ( map ( int , input ( ) . split ( ) ) )	ユーザが入力した整数値をスペースで区切ってリストとして受け取り、 <name5> に代入する
<name1> = list ( map ( int , input ( ) . split ( ) ) )	ユーザが入力した整数値をスペースで区切ってリストとして受け取り、 <name1> に代入する
<name2> = list ( map ( int , input ( ) . split ( ) ) )	ユーザが入力した整数値をスペースで区切ってリストとして受け取られた結果を <name2> にする
<name1> = list ( map ( int , input ( ) . split ( ) ) )	ユーザが入力した整数値をスペースで区切ってリストとして受け取られた結果を <name1> にする
<name2> , <name3> , <name6> = input ( ) . split ( )	入力された文字列を半角スペースで分割し <name2> 、 <name3> 、 <name6> とする
<name1> , <name2> , <name3> = input ( ) . split ( )	入力された文字列を半角スペースで分割し <name1> 、 <name2> 、 <name3> とする
<name2> , <name4> , <name6> = input ( ) . split ( )	空白ごとに入力文字列を受け取り <name2> 、 <name4> 、 <name6> とする
<name1> , <name2> , <name3> = input ( ) . split ( )	空白ごとに入力文字列を受け取り <name1> 、 <name2> 、 <name3> とする
<name2> , <name1> , <name5> = input ( ) . split ( )	半角スペースで区切って入力文字列を受け取り <name2> 、 <name1> 、 <name5> とする
<name1> , <name2> , <name3> = input ( ) . split ( )	半角スペースで区切って入力文字列を受け取り <name1> 、 <name2> 、 <name3> とする
<name2> , <name3> , <name1> = map ( int , input ( ) . split ( ) )	入力された整数値を半角スペースで分割し <name2> 、 <name3> 、 <name1> とする
<name1> , <name2> , <name3> = map ( int , input ( ) . split ( ) )	入力された整数値を半角スペースで分割し <name1> 、 <name2> 、 <name3> とする
<name5> , <name3> , <name1> = map ( int , input ( ) . split ( ) )	半角スペースごとに入力された整数値を受け取り <name5> 、 <name3> 、 <name1> とする
<name1> , <name2> , <name3> = map ( int , input ( ) . split ( ) )	半角スペースごとに入力された整数値を受け取り <name1> 、 <name2> 、 <name3> とする
if <name4> == <val5> :	<name4> が <val5> ならば
if <name1> == <val2> :	<name1> が <val2> ならば
if <name4> == <val5> :	もし <name4> が <val5> ならば
if <name1> == <val2> :	もし <name1> が <val2> ならば
elif <name5> == <val3> :	そうでなくて <name5> が <val3> ならば
elif <name1> == <val2> :	そうでなくて <name1> が <val2> ならば
else	そうでなければ
else	どれでもなければ
else	それ以外のとき
if <name3> < <val4> or <name3> >= <val6> :	<name3> が <val4> 未満または <val6> 以上ならば
if <name1> < <val2> or <name1> >= <val3> :	<name1> が <val2> 未満または <val3> 以上ならば
if <name2> < <val4> or <name2> >= <val5> :	もし <name2> が <val4> 未満または <val5> 以上ならば
if <name1> < <val2> or <name1> >= <val3> :	もし <name1> が <val2> 未満または <val3> 以上ならば
if <name2> < <val4> and <name2> >= <val3> :	<name2> が <val4> 未満かつ <val3> 以上ならば
if <name1> < <val2> and <name1> >= <val3> :	<name1> が <val2> 未満かつ <val3> 以上ならば
if <name2> < <val3> and <name2> >= <val4> :	もし <name2> が <val3> 未満かつ <val4> 以上ならば
if <name1> < <val2> and <name1> >= <val3> :	もし <name1> が <val2> 未満かつ <val3> 以上ならば
for i in range ( <val4> ) :	以下の処理を <val4> 回ループする
for i in range ( <val1> ) :	以下の処理を <val1> 回ループする
for i in range ( <val3> ) :	<val3> 回ループする
for i in range ( <val1> ) :	<val1> 回ループする
for <name6> in range ( 10 ) :	<name6> に 0 から 9 を代入して、以降のプログラムをループする
for <name1> in range ( 10 ) :	<name1> に 0 から 9 を代入して、以降のプログラムをループする
for <name3> in range ( <val6> ) :	<name3> に <val6> 未満の連続した数値を代入して、以降のプログラムをループする
for <name1> in range ( <val2> ) :	<name1> に <val2> 未満の連続した数値を代入して、以降のプログラムをループする
for <name3> in range ( 10 ) :	<name3> を 0 から 9 まで 1 つずつ取り出しながら繰り返し処理を行う
for <name1> in range ( 10 ) :	<name1> を 0 から 9 まで 1 つずつ取り出しながら繰り返し処理を行う
for i in range ( <val3> ) :	繰り返し処理を <val3> 回行う
for i in range ( <val1> ) :	繰り返し処理を <val1> 回行う
for i in range ( <val4> ) :	<val4> 回だけ繰り返し処理を行う
for i in range ( <val1> ) :	<val1> 回だけ繰り返し処理を行う
for i in range ( len ( <name1> ) ) :	以降のプログラムを <name1> の長さだけループする
for <name1> , <name5> in enumerate ( <name6> ) :	<name6> のインデックスを <name1> 、要素を <name5> へ順番に代入して以降のプログラムをループする
for <name1> , <name2> in enumerate ( <name3> ) :	<name3> のインデックスを <name1> 、要素を <name2> へ順番に代入して以降のプログラムをループする
for <name1> , <name5> in zip ( <name2> , <name6> ) :	<name2> の要素を <name1> 、 <name6> の要素を <name5> へ順番に代入して以降のプログラムをループする
for <name1> , <name2> in zip ( <name3> , <name4> ) :	<name3> の要素を <name1> 、 <name4> の要素を <name2> へ順番に代入して以降のプログラムをループする
while True :	以下の処理をずっとループする
while True :	無限ループを行う
pass	何もしない
pass	何も行わない
pass	パスする
break	抜ける
break	中断する
break	ループ処理を終了する
break	繰り返し処理から抜け出す
continue	先頭に戻ってやり直す
continue	最初から繰り返す
try :	可能なら以下のプログラムを実行する
except :	もし何らかの例外が発生した場合
except :	もし try の中のプログラムが実行できなかった時
except <name5> :	もし <name5> が発生したとき
except <name1> :	もし <name1> が発生したとき
finally :	例外が発生してもしなくても
def <name4> ( <name2> ) :	<name2> を引数に持つ関数 <name4> を定義する
def <name1> ( <name2> ) :	<name2> を引数に持つ関数 <name1> を定義する
def <name4> ( <name1> ) :	<name1> を引数に持つ関数を <name4> という名前で定義する
def <name1> ( <name2> ) :	<name2> を引数に持つ関数を <name1> という名前で定義する
return	何も返さない
return <name3>	<name3> をリターンする
return <name1>	<name1> をリターンする
yield <val3>	<val3> を一旦リターンする
yield <val1>	<val1> を一旦リターンする
[ ]	空列
<name4> = [ ]	空列を <name4> にする
<name1> = [ ]	空列を <name1> にする
[ ]	空のリスト
<name4> = [ ]	空のリストを <name4> にする
<name1> = [ ]	空のリストを <name1> にする
( )	空のタプル
<name6> = ( )	空のタプルを <name6> にする
<name1> = ( )	空のタプルを <name1> にする
<name6> [ 0 ]	<name6> の最初の要素
<name1> [ 0 ]	<name1> の最初の要素
<name3> [ -1 ]	<name3> の末尾の要素
<name1> [ -1 ]	<name1> の末尾の要素
<name3> [ : ]	<name3> のコピー
<name1> [ : ]	<name1> のコピー
<name4> [ : ]	<name4> がコピーされた列
<name1> [ : ]	<name1> がコピーされた列
<name4> [ : -1 ]	<name4> の最後を除いた部分列
<name1> [ : -1 ]	<name1> の最後を除いた部分列
<name2> [ 1 : ]	<name2> の最初を除いた部分列
<name1> [ 1 : ]	<name1> の最初を除いた部分列
<name3> [ <name1> : <name6> ]	<name3> の <name1> 番目から <name6> 番目の要素を得る
<name1> [ <name2> : <name3> ]	<name1> の <name2> 番目から <name3> 番目の要素を得る
<name4> [ <name2> : ]	<name4> の <name2> 番目から末尾までの要素を取り出す
<name1> [ <name2> : ]	<name1> の <name2> 番目から末尾までの要素を取り出す
<name5> [ <name3> : ]	<name5> の <name3> 番目以降の値を取り出す
<name1> [ <name2> : ]	<name1> の <name2> 番目以降の値を取り出す
<name3> [ : <name2> ]	<name3> の 0 番目から <name2> 番目の要素を取り出す
<name1> [ : <name2> ]	<name1> の 0 番目から <name2> 番目の要素を取り出す
<name5> [ : : -1 ]	<name5> の逆順
<name1> [ : : -1 ]	<name1> の逆順
<name5> [ : : -1 ]	<name5> 内の要素の順番を逆にする
<name1> [ : : -1 ]	<name1> 内の要素の順番を逆にする
len ( <name3> )	<name3> の長さ
len ( <name1> )	<name1> の長さ
len ( <name4> )	<name4> の長さを見る
len ( <name1> )	<name1> の長さを見る
len ( <name6> )	<name6> の長さを算出する
len ( <name1> )	<name1> の長さを算出する
sum ( <name1> )	<name1> の合計
sum ( <name4> )	<name4> の合計を確認する
sum ( <name1> )	<name1> の合計を確認する
sum ( <name5> )	<name5> の合計値を計算する
sum ( <name1> )	<name1> の合計値を計算する
min ( <name2> )	<name2> の一番小さい値
min ( <name1> )	<name1> の一番小さい値
min ( <name3> )	<name3> の一番小さい値をチェックする
min ( <name1> )	<name1> の一番小さい値をチェックする
min ( <name3> )	<name3> の最小値を求める
min ( <name1> )	<name1> の最小値を求める
max ( <name4> ) @check @calc	<name4> の一番大きい値
max ( <name1> ) @check @calc	<name1> の一番大きい値
sum ( <name6> ) / len ( <name6> )	<name6> の平均
sum ( <name1> ) / len ( <name1> )	<name1> の平均
sum ( <name5> ) / len ( <name5> )	<name5> の平均値を調べる
sum ( <name1> ) / len ( <name1> )	<name1> の平均値を調べる
sum ( <name3> ) / len ( <name3> )	<name3> の平均を計算する
sum ( <name1> ) / len ( <name1> )	<name1> の平均を計算する
range ( <name1> )	0 から <name1> -1 までの数列
range ( <name5> )	0 から <name5> -1 の範囲の数列
range ( <name1> )	0 から <name1> -1 の範囲の数列
range ( <name4> )	0 から <name4> -1 の範囲で 1 ずつ増える数列
range ( <name1> )	0 から <name1> -1 の範囲で 1 ずつ増える数列
range ( <name5> )	0 ~ <name5> -1 の範囲の数列
range ( <name1> )	0 ~ <name1> -1 の範囲の数列
range ( <name3> )	0 ~ <name3> -1 の範囲で 1 ずつ増える数列
range ( <name1> )	0 ~ <name1> -1 の範囲で 1 ずつ増える数列
range ( <name2> )	0 以上 <name2> 未満の範囲で 1 ずつ増える数列
range ( <name1> )	0 以上 <name1> 未満の範囲で 1 ずつ増える数列
range ( <name5> )	0 以上 <name5> 未満の範囲の数列
range ( <name1> )	0 以上 <name1> 未満の範囲の数列
range ( <val1> , <name5> + <val1> )	<val1> から <name5> までの数列
range ( <val1> , <name2> + <val1> )	<val1> から <name2> までの数列
range ( <val4> , <name5> + <val4> )	<val4> から <name5> の範囲の数列
range ( <val1> , <name2> + <val1> )	<val1> から <name2> の範囲の数列
range ( <val1> , <name5> + <val1> )	<val1> から <name5> の範囲で <val1> ずつ増える数列
range ( <val1> , <name2> + <val1> )	<val1> から <name2> の範囲で <val1> ずつ増える数列
range ( <val3> , <name6> + <val3> )	<val3> ~ <name6> の範囲の数列
range ( <val1> , <name2> + <val1> )	<val1> ~ <name2> の範囲の数列
range ( <val2> , <name1> + <val2> )	<val2> ~ <name1> の範囲で <val2> ずつ増える数列
range ( <val1> , <name2> + <val1> )	<val1> ~ <name2> の範囲で <val1> ずつ増える数列
range ( <val6> , <name5> + <val6> )	<val6> 以上 <name5> + <val6> 未満の範囲で <val6> ずつ増える数列
range ( <val1> , <name2> + <val1> )	<val1> 以上 <name2> + <val1> 未満の範囲で <val1> ずつ増える数列
range ( <val5> , <name3> + <val5> , <val2> )	<val5> から <name3> までの <val2> つ飛ばしの数列
range ( <val1> , <name2> + <val1> , <val3> )	<val1> から <name2> までの <val3> つ飛ばしの数列
range ( <val1> , <name5> + <val1> , <val6> )	<val1> から <name5> の範囲の <val6> つ飛ばしの数列
range ( <val1> , <name2> + <val1> , <val3> )	<val1> から <name2> の範囲の <val3> つ飛ばしの数列
range ( <val3> , <name6> + <val3> , <val1> )	<val3> から <name6> の範囲で <val1> つずつ増える数列
range ( <val1> , <name2> + <val1> , <val3> )	<val1> から <name2> の範囲で <val3> つずつ増える数列
range ( <val5> , <name1> + <val5> , <val6> )	<val5> ~ <name1> の範囲の <val6> つ飛ばしの数列
range ( <val1> , <name2> + <val1> , <val3> )	<val1> ~ <name2> の範囲の <val3> つ飛ばしの数列
range ( <val1> , <name2> + <val1> , <val3> )	<val1> ~ <name2> の範囲で <val3> ずつ増える数列
range ( <val5> , <name2> + <val5> , <val1> )	<val5> 以上 <name2> + <val5> 未満の範囲で <val1> ずつ増える数列
range ( <val1> , <name2> + <val1> , <val3> )	<val1> 以上 <name2> + <val1> 未満の範囲で <val3> ずつ増える数列
<name4> . append ( <name3> )	<name4> に <name3> を追加する
<name1> . append ( <name2> )	<name1> に <name2> を追加する
<name3> . append ( <name2> )	<name3> の最後に <name2> をアペンドする
<name1> . append ( <name2> )	<name1> の最後に <name2> をアペンドする
<name1> . extend ( <name6> )	<name1> に <name6> を展開して入れる
<name1> . extend ( <name2> )	<name1> に <name2> を展開して入れる
<name2> . extend ( <name5> )	<name5> を追加して <name2> を拡張する
<name1> . extend ( <name2> )	<name2> を追加して <name1> を拡張する
<name2> . insert ( <name6> , <name4> )	<name2> の <name6> 番目に <name4> を追加する
<name1> . insert ( <name2> , <name3> )	<name1> の <name2> 番目に <name3> を追加する
<name3> . pop ( )	<name3> の末尾から値をポップする
<name1> . pop ( )	<name1> の末尾から値をポップする
<name6> . pop ( <name3> )	<name6> の <name3> 番目から要素をポップする
<name1> . pop ( <name2> )	<name1> の <name2> 番目から要素をポップする
<name1> . clear ( )	<name1> の全ての要素を削除する
<name5> . remove ( <name4> )	<name5> 内の <name4> と等しい要素の先頭を取り除く
<name1> . remove ( <name2> )	<name1> 内の <name2> と等しい要素の先頭を取り除く
del <name5> [ <val6> ]	<name5> の <val6> 番目の要素を取り除く
del <name1> [ <val2> ]	<name1> の <val2> 番目の要素を取り除く
<name2> . index ( <name4> )	<name2> 内の <name4> が存在する先頭のインデックスを取得する
<name1> . index ( <name2> )	<name1> 内の <name2> が存在する先頭のインデックスを取得する
<name4> . sort ( )	<name4> を昇順にソートする
<name1> . sort ( )	<name1> を昇順にソートする
<name1> = <name5> . sort ( )	<name5> を昇順にソートし、 <name1> に代入する
<name1> = <name2> . sort ( )	<name2> を昇順にソートし、 <name1> に代入する
<name1> = <name3> . sort ( )	<name3> を昇順にソートした結果を <name1> にする
<name1> = <name2> . sort ( )	<name2> を昇順にソートした結果を <name1> にする
<name6> . sort ( reverse = True )	<name6> を降順にソートする
<name1> . sort ( reverse = True )	<name1> を降順にソートする
<name1> = <name2> . sort ( reverse = True )	<name2> を降順にソートして、 <name1> にする
<name1> = <name5> . sort ( reverse = True )	<name5> を降順にソートした結果を <name1> にする
<name1> = <name2> . sort ( reverse = True )	<name2> を降順にソートした結果を <name1> にする
<name5> . reverse ( )	<name5> を降順にする
<name1> . reverse ( )	<name1> を降順にする
<name3> = <name4> . reverse ( )	<name4> を降順にして、 <name3> とする
<name1> = <name2> . reverse ( )	<name2> を降順にして、 <name1> とする
<name4> = <name2> . reverse ( )	<name2> を降順にされた結果を <name4> に代入する
<name1> = <name2> . reverse ( )	<name2> を降順にされた結果を <name1> に代入する
<name3> . copy ( )	<name3> のコピー
<name1> . copy ( )	<name1> のコピー
<name5> = <name2> . copy ( )	<name2> のコピーを <name5> に代入する
<name1> = <name2> . copy ( )	<name2> のコピーを <name1> に代入する
sorted ( <name2> )	<name2> を昇順にソートする
sorted ( <name1> )	<name1> を昇順にソートする
sorted ( <name6> )	<name6> を昇順にソートした列
sorted ( <name1> )	<name1> を昇順にソートした列
sorted ( <name4> , reverse = True )	<name4> を降順にソートする
sorted ( <name1> , reverse = True )	<name1> を降順にソートする
sorted ( <name2> , reverse = True )	<name2> を降順にソートした列
sorted ( <name1> , reverse = True )	<name1> を降順にソートした列
sorted ( <name5> , key = <name2> )	<name5> に <name2> 関数を適用してソートする
sorted ( <name1> , key = <name2> )	<name1> に <name2> 関数を適用してソートする
sorted ( <name3> , key = abs )	<name3> を絶対値に直してソートする
sorted ( <name1> , key = abs )	<name1> を絶対値に直してソートする
sorted ( <name4> , key = abs )	<name4> を絶対値に直してソートした列
sorted ( <name1> , key = abs )	<name1> を絶対値に直してソートした列
sorted ( <name1> , key = abs )	<name1> の各要素の絶対値でソートする
reversed ( <name1> )	<name1> を降順にする
reversed ( <name4> )	<name4> をリバースした列
reversed ( <name1> )	<name1> をリバースした列
all ( <name2> )	<name2> 内の全ての要素が真かどうか
all ( <name1> )	<name1> 内の全ての要素が真かどうか
all ( <name6> )	<name6> 内の要素が全て真かどうか
all ( <name1> )	<name1> 内の要素が全て真かどうか
any ( <name6> )	<name6> 内の少なくともひとつの要素が真かどうか
any ( <name1> )	<name1> 内の少なくともひとつの要素が真かどうか
any ( <name3> )	<name3> 内の要素が少なくともひとつは真かどうか
any ( <name1> )	<name1> 内の要素が少なくともひとつは真かどうか
[ <val4> for i in range ( <name3> ) ]	<name3> 個の <val4> が含まれるリスト
[ <val1> for i in range ( <name2> ) ]	<name2> 個の <val1> が含まれるリスト
<name3> = [ <val2> for i in range ( <name6> ) ]	<name6> 個の <val2> が含まれるリストを <name3> にする
<name1> = [ <val2> for i in range ( <name3> ) ]	<name3> 個の <val2> が含まれるリストを <name1> にする
[ i for i in range ( <val4> , 101 ) ]	<val4> から 100 までの数が並んだリスト
[ i for i in range ( <val1> , 101 ) ]	<val1> から 100 までの数が並んだリスト
<name5> = [ i for i in range ( <val1> , 101 ) ]	<val1> から 100 までの数が並んだリストを <name5> に代入する
<name1> = [ i for i in range ( <val2> , 101 ) ]	<val2> から 100 までの数が並んだリストを <name1> に代入する
[ i for i in range ( <val4> , <val3> ) ]	<val4> 以上 <val3> 未満の数が並んだリスト
[ i for i in range ( <val1> , <val2> ) ]	<val1> 以上 <val2> 未満の数が並んだリスト
<name3> = [ i for i in range ( <val2> , <val4> ) ]	<val2> 以上 <val4> 未満の数が並んだリストを <name3> とする
<name1> = [ i for i in range ( <val2> , <val3> ) ]	<val2> 以上 <val3> 未満の数が並んだリストを <name1> とする
''	空文字
'\n'	改行文字
'\n'	改行
'\t'	タブ文字
'\t'	タブ
' '	空白文字
' '	空白
chr ( <name4> )	文字コード <name4> の文字
chr ( <name1> )	文字コード <name1> の文字
ord ( <name1> )	<name1> の文字コード
bin ( <name5> )	<name5> の 2 進数文字列
bin ( <name1> )	<name1> の 2 進数文字列
oct ( <name4> )	<name4> の 8 進数表現
oct ( <name1> )	<name1> の 8 進数表現
hex ( <name1> )	<name1> の 16 進数表現
<name3> . to_bytes ( )	<name3> のバイト列
<name1> . to_bytes ( )	<name1> のバイト列
byteorder = 'big'	ビッグエンディアンとして
byteorder = 'little'	リトルエンディアンとして
<name6> . from_bytes ( )	バイト列 <name6> からの整数値
<name1> . from_bytes ( )	バイト列 <name1> からの整数値
<name5> . is_integer ( )	<name5> が整数かどうか
<name1> . is_integer ( )	<name1> が整数かどうか
<name4> . upper ( )	<name4> を英大文字に変換した文字列
<name1> . upper ( )	<name1> を英大文字に変換した文字列
<name4> = <name1> . upper ( )	<name1> を英大文字に変換した文字列を <name4> に代入する
<name1> = <name2> . upper ( )	<name2> を英大文字に変換した文字列を <name1> に代入する
<name4> . upper ( )	<name4> 内の小文字を大文字にする
<name1> . upper ( )	<name1> 内の小文字を大文字にする
<name1> = <name5> . upper ( )	<name5> 内の小文字を大文字に変換して、 <name1> とする
<name1> = <name2> . upper ( )	<name2> 内の小文字を大文字に変換して、 <name1> とする
<name2> = <name1> . upper ( )	<name1> 内の小文字を大文字に変換した結果を <name2> にする
<name1> = <name2> . upper ( )	<name2> 内の小文字を大文字に変換した結果を <name1> にする
<name4> . upper ( )	<name4> を全て大文字に変換する
<name1> . upper ( )	<name1> を全て大文字に変換する
<name4> = <name1> . upper ( )	<name1> を全て大文字に変換し、 <name4> に代入する
<name1> = <name2> . upper ( )	<name2> を全て大文字に変換し、 <name1> に代入する
<name2> = <name6> . upper ( )	<name6> を全て大文字に変換した結果を <name2> とする
<name1> = <name2> . upper ( )	<name2> を全て大文字に変換した結果を <name1> とする
<name2> . lower ( )	<name2> を英小文字に変換した文字列
<name1> . lower ( )	<name1> を英小文字に変換した文字列
<name1> = <name2> . lower ( )	<name2> を英小文字に変換した文字列を <name1> に代入する
<name4> . lower ( )	<name4> 内の大文字を小文字に変換する
<name1> . lower ( )	<name1> 内の大文字を小文字に変換する
<name3> = <name5> . lower ( )	<name5> 内の大文字を小文字に直し、 <name3> とする
<name1> = <name2> . lower ( )	<name2> 内の大文字を小文字に直し、 <name1> とする
<name6> = <name2> . lower ( )	<name2> 内の大文字を小文字に直された結果を <name6> にする
<name1> = <name2> . lower ( )	<name2> 内の大文字を小文字に直された結果を <name1> にする
<name4> . lower ( )	<name4> を全て小文字に変換する
<name1> . lower ( )	<name1> を全て小文字に変換する
<name3> = <name6> . lower ( )	<name6> を全て小文字に変換し、 <name3> に代入する
<name1> = <name2> . lower ( )	<name2> を全て小文字に変換し、 <name1> に代入する
<name3> = <name6> . lower ( )	<name6> を全て小文字に変換した結果を <name3> にする
<name1> = <name2> . lower ( )	<name2> を全て小文字に変換した結果を <name1> にする
list ( <name4> )	<name4> の文字リスト
list ( <name1> )	<name1> の文字リスト
<name3> = list ( <name2> )	<name2> の文字リストを <name3> とする
<name1> = list ( <name2> )	<name2> の文字リストを <name1> とする
<name3> . split ( )	<name3> を空白で分割した文字列のリスト
<name1> . split ( )	<name1> を空白で分割した文字列のリスト
<name3> = <name5> . split ( )	<name5> を空白で分割した文字列のリストを <name3> とする
<name1> = <name2> . split ( )	<name2> を空白で分割した文字列のリストを <name1> とする
<name6> . split ( )	<name6> を空白で分割してリストを返す
<name1> . split ( )	<name1> を空白で分割してリストを返す
<name6> = <name5> . split ( )	<name5> を空白で分割してリストを返し、 <name6> にする
<name1> = <name2> . split ( )	<name2> を空白で分割してリストを返し、 <name1> にする
<name1> = <name2> . split ( )	<name2> を空白で分割してリストを返した結果を <name1> に代入する
<name4> . split ( )	空白を区切り文字として <name4> を分割した結果をリスト型にして返す
